date,open,high,low,close,volume
2025-06-24,0.3,0.385,0.27,0.27,510062.0
2025-06-25,0.304,0.4,0.28,0.2801,4172.0
2025-06-26,0.3,0.3,0.284,0.29,17137.0
2025-06-27,0.3,0.3,0.29,0.29,63490.0
2025-06-30,0.26,0.3,0.25,0.27,498132.0
2025-07-01,0.268,0.27,0.2679,0.27,3810.0
2025-07-02,0.26,0.2999,0.26,0.27,123026.0
2025-07-03,0.27,0.27,0.27,0.27,11.0
2025-07-07,0.2994,0.2994,0.235,0.2501,3620.0
2025-07-08,0.2511,0.26,0.25,0.26,8109.0
2025-07-09,0.26,0.26,0.26,0.26,341.0
2025-07-10,0.26,0.26,0.26,0.26,3090.0
2025-07-11,0.2501,0.27,0.2501,0.2699,907.0
2025-07-14,0.2699,0.2699,0.2699,0.2699,135.0
2025-07-15,0.2699,0.2699,0.2699,0.2699,89.0
2025-07-16,0.27,0.27,0.2699,0.2699,36244.0
2025-07-17,0.275,0.275,0.26,0.26,4640.0
2025-07-18,0.2678,0.2796,0.26,0.2697,1263.0
