date,open,high,low,close,volume
2021-07-06,0.6,0.6,0.6,0.6,718.0
2021-07-07,0.6002,0.61,0.5601,0.61,5100.0
2021-07-08,0.61,0.61,0.61,0.61,0.0
2021-07-09,0.61,0.61,0.61,0.61,0.0
2021-07-12,0.65,0.65,0.65,0.65,2773.0
2021-07-13,0.65,0.65,0.65,0.65,0.0
2021-07-14,0.65,0.65,0.65,0.65,60.0
2021-07-15,0.65,0.65,0.65,0.65,10.0
2021-07-16,0.6001,0.6001,0.575,0.6,8530.0
2021-07-19,0.6,0.6,0.6,0.6,25.0
2021-07-20,0.5555,0.5555,0.5501,0.5501,356.0
2021-07-21,0.5501,0.5501,0.5499,0.55,11217.0
2021-07-22,0.53,0.6,0.53,0.6,700.0
2021-07-23,0.6,0.6,0.6,0.6,0.0
2021-07-26,0.55,0.5502,0.3845,0.4357,38808.0
2021-07-27,0.5399,0.5399,0.4362,0.4362,1117.0
2021-07-28,0.4362,0.4362,0.4362,0.4362,0.0
2021-07-29,0.4503,0.475,0.45,0.45,2760.0
2021-07-30,0.45,0.45,0.45,0.45,0.0
2021-08-02,0.45,0.45,0.45,0.45,105.0
2021-08-03,0.47,0.47,0.3722,0.3969,21330.0
2021-08-04,0.3969,0.3969,0.3969,0.3969,0.0
2021-08-05,0.4,0.4022,0.25,0.3223,43167.0
2021-08-06,0.36,0.36,0.3299,0.3341,5339.0
2021-08-09,0.3341,0.3341,0.3341,0.3341,100.0
2021-08-10,0.28,0.3399,0.28,0.31,2000.0
2021-08-11,0.3599,0.3599,0.271,0.3155,2442.0
2021-08-12,0.3155,0.3155,0.3155,0.3155,25.0
2021-08-13,0.34,0.4835,0.3311,0.4722,30949.0
2021-08-16,0.4722,0.4722,0.4722,0.4722,72.0
2021-08-17,0.4722,0.4722,0.4722,0.4722,0.0
2021-08-18,0.3899,0.39,0.3295,0.3295,14328.0
2021-08-19,0.3295,0.3295,0.3295,0.3295,26.0
2021-08-20,0.3895,0.42,0.3865,0.42,12990.0
2021-08-23,0.42,0.42,0.42,0.42,90.0
2021-08-24,0.42,0.42,0.42,0.42,100.0
2021-08-25,0.3699,0.4199,0.3699,0.4199,3131.0
2021-08-26,0.42,0.4616,0.4169,0.46,11036.0
2021-08-27,0.4699,0.4699,0.4698,0.4698,1400.0
2021-08-30,0.47,0.47,0.4693,0.4693,11106.0
2021-08-31,0.4693,0.4693,0.4693,0.4693,0.0
2021-09-01,0.4693,0.4693,0.4693,0.4693,0.0
2021-09-02,0.4693,0.4693,0.4693,0.4693,0.0
2021-09-03,0.5599,0.5727,0.4405,0.4405,8782.0
2021-09-07,0.4405,0.4405,0.4405,0.4405,0.0
2021-09-08,0.47,0.47,0.47,0.47,1000.0
2021-09-09,0.4429,0.51,0.4429,0.4975,2491.0
2021-09-10,0.5,0.5,0.4998,0.4998,1184.0
2021-09-13,0.4156,0.4156,0.4151,0.4151,2000.0
2021-09-14,0.32,0.4,0.32,0.3952,4961.0
2021-09-15,0.3952,0.3952,0.3952,0.3952,1300.0
2021-09-16,0.3202,0.3202,0.3202,0.3202,118.0
2021-09-17,0.3202,0.3202,0.3202,0.3202,1971.0
2021-09-20,0.3402,0.3403,0.29,0.2904,20279.0
2021-09-21,0.2904,0.2904,0.2904,0.2904,0.0
2021-09-22,0.2904,0.2904,0.2904,0.2904,0.0
2021-09-23,0.3201,0.3201,0.3201,0.3201,115.0
2021-09-24,0.3201,0.3201,0.3201,0.3201,0.0
2021-09-27,0.3201,0.3201,0.3201,0.3201,0.0
2021-09-28,0.3999,0.3999,0.3999,0.3999,203.0
2021-09-29,0.3999,0.3999,0.3999,0.3999,52.0
2021-09-30,0.3999,0.3999,0.3999,0.3999,201.0
2021-10-01,0.3999,0.3999,0.3999,0.3999,0.0
2021-10-04,0.3999,0.3999,0.3999,0.3999,0.0
2021-10-05,0.3999,0.4366,0.3999,0.4366,10255.0
2021-10-06,0.4366,0.4366,0.4366,0.4366,0.0
2021-10-07,0.5966,0.5966,0.5966,0.5966,200.0
2021-10-08,0.5966,0.5966,0.5966,0.5966,85.0
2021-10-11,0.5799,0.5799,0.5799,0.5799,169.0
2021-10-12,0.5799,0.5799,0.5655,0.5799,2759.0
2021-10-13,0.55,0.55,0.49,0.49,1158.0
2021-10-14,0.49,0.49,0.49,0.49,327.0
2021-10-15,0.49,0.49,0.49,0.49,0.0
2021-10-18,0.49,0.49,0.49,0.49,9.0
2021-10-19,0.49,0.49,0.49,0.49,0.0
2021-10-20,0.55,0.55,0.55,0.55,100.0
2021-10-21,0.385,0.385,0.385,0.385,3000.0
2021-10-22,0.385,0.385,0.385,0.385,0.0
2021-10-25,0.385,0.385,0.385,0.385,0.0
2021-10-26,0.5286,0.53,0.5199,0.53,1727.0
2021-10-27,0.5145,0.5785,0.5045,0.538,1170.0
2021-10-28,0.4307,0.4307,0.3928,0.3928,1113.0
2021-10-29,0.3928,0.3928,0.3928,0.3928,0.0
2021-11-01,0.3928,0.3928,0.3928,0.3928,63.0
2021-11-02,0.3901,0.45,0.355,0.36,14616.0
2021-11-03,0.3501,0.4254,0.3248,0.399,14150.0
