Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
AACBR,
2025-07-15,
Full size,
US/Eastern,
,"{'1. open': '0.1966', '2. high': '0.1966', '3. low': '0.1966', '4. close': '0.1966', '5. volume': '154'}"
,"{'1. open': '0.2000', '2. high': '0.2000', '3. low': '0.2000', '4. close': '0.2000', '5. volume': '74'}"
,"{'1. open': '0.1866', '2. high': '0.2200', '3. low': '0.1800', '4. close': '0.2000', '5. volume': '278070'}"
,"{'1. open': '0.1928', '2. high': '0.2063', '3. low': '0.1928', '4. close': '0.2063', '5. volume': '205'}"
,"{'1. open': '0.1801', '2. high': '0.1801', '3. low': '0.1801', '4. close': '0.1801', '5. volume': '4'}"
,"{'1. open': '0.2000', '2. high': '0.2000', '3. low': '0.1790', '4. close': '0.1801', '5. volume': '75318'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '203'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '38'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '12'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '81'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '88'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '0'}"
,"{'1. open': '0.1800', '2. high': '0.5746', '3. low': '0.1700', '4. close': '0.1800', '5. volume': '795449'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '0'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '0'}"
,"{'1. open': '0.1800', '2. high': '0.1800', '3. low': '0.1800', '4. close': '0.1800', '5. volume': '112'}"
