date,open,high,low,close,volume
2024-11-08,0.055,0.055,0.055,0.055,0.0
2024-11-11,0.055,0.055,0.055,0.055,85.0
2024-11-12,0.055,0.055,0.055,0.055,0.0
2024-11-13,0.06,0.06,0.06,0.06,489.0
2024-11-14,0.06,0.06,0.06,0.06,19.0
2024-11-15,0.06,0.06,0.06,0.06,0.0
2024-11-18,0.056,0.056,0.055,0.055,3680.0
2024-11-19,0.055,0.055,0.055,0.055,850.0
2024-11-20,0.06,0.06,0.056,0.056,794.0
2024-11-21,0.0501,0.056,0.0501,0.0551,2025.0
2024-11-22,0.0551,0.0551,0.0551,0.0551,68.0
2024-11-25,0.06,0.06,0.055,0.0551,12285.0
2024-11-26,0.06,0.06,0.06,0.06,100.0
2024-11-27,0.0569,0.062,0.055,0.06,8336.0
2024-11-29,0.06,0.062,0.0551,0.0551,87280.0
2024-12-02,0.0578,0.07,0.0462,0.0462,1333206.0
2024-12-03,0.066,0.07,0.05,0.05,6925.0
2024-12-04,0.05,0.05,0.05,0.05,304.0
2024-12-05,0.0584,0.0698,0.05,0.06,20092.0
2024-12-06,0.05,0.06,0.05,0.0571,10017.0
2024-12-09,0.06,0.08,0.0501,0.0501,34348.0
2024-12-10,0.0677,0.07,0.0564,0.0564,10359.0
2024-12-11,0.0506,0.08,0.0506,0.06,6193.0
2024-12-12,0.0765,0.08,0.064,0.064,108637.0
2024-12-13,0.064,0.064,0.064,0.064,0.0
2024-12-16,0.064,0.064,0.064,0.064,67.0
2024-12-17,0.0628,0.0699,0.06,0.0699,7589.0
2024-12-18,0.0899,0.0899,0.068,0.07,10248.0
2024-12-19,0.06,0.07,0.06,0.0697,10889.0
2024-12-20,0.063,0.063,0.063,0.063,3220.0
2024-12-23,0.063,0.063,0.063,0.063,136.0
2024-12-24,0.063,0.07,0.063,0.07,10230.0
2024-12-26,0.07,0.07,0.07,0.07,0.0
2024-12-27,0.08,0.08,0.07,0.07,94125.0
2024-12-30,0.07,0.0775,0.0655,0.0699,22843.0
2024-12-31,0.07,0.07,0.07,0.07,802.0
2025-01-02,0.07,0.07,0.07,0.07,584.0
2025-01-03,0.0612,0.07,0.0602,0.0697,2144.0
2025-01-06,0.07,0.07,0.07,0.07,1154.0
2025-01-07,0.0666,0.0699,0.06,0.0699,1597.0
2025-01-08,0.065,0.08,0.0604,0.0702,27768.0
2025-01-10,0.09,0.09,0.0748,0.0748,432.0
2025-01-13,0.09,0.09,0.0611,0.0781,2096.0
2025-01-14,0.0701,0.0781,0.0701,0.0781,1059.0
2025-01-15,0.0781,0.0781,0.0781,0.0781,0.0
2025-01-16,0.0701,0.0701,0.0701,0.0701,888.0
2025-01-17,0.0701,0.0701,0.0701,0.0701,0.0
2025-01-21,0.09,0.09,0.0701,0.0701,1599.0
2025-01-22,0.07,0.0701,0.07,0.07,8970.0
2025-01-23,0.07,0.07,0.0611,0.065,6613.0
2025-01-24,0.07,0.07,0.065,0.065,12022.0
2025-01-27,0.0611,0.0731,0.0611,0.0731,6640.0
2025-01-28,0.0611,0.07,0.0561,0.06,248248.0
2025-01-29,0.06,0.06,0.06,0.06,2515.0
2025-01-30,0.056,0.0574,0.0505,0.0505,4536.0
2025-01-31,0.06,0.06,0.06,0.06,349.0
2025-02-03,0.065,0.065,0.0605,0.0605,481.0
2025-02-04,0.055,0.0551,0.055,0.0551,922.0
2025-02-05,0.0551,0.065,0.0551,0.065,1512.0
2025-02-06,0.065,0.065,0.055,0.055,404.0
2025-02-07,0.0593,0.0593,0.055,0.055,548.0
2025-02-10,0.06,0.06,0.055,0.0567,5436.0
2025-02-11,0.051,0.0629,0.051,0.0551,6764.0
2025-02-12,0.0604,0.0604,0.0596,0.06,19026.0
2025-02-13,0.0644,0.0644,0.0581,0.0581,395.0
2025-02-14,0.0581,0.0581,0.0581,0.0581,277.0
2025-02-18,0.0649,0.0683,0.0649,0.0683,447.0
2025-02-19,0.0683,0.0683,0.0683,0.0683,6.0
2025-02-20,0.07,0.0707,0.07,0.07,1659.0
2025-02-21,0.07,0.0701,0.07,0.0701,710.0
2025-02-24,0.07,0.0725,0.07,0.07,438303.0
2025-02-25,0.07,0.07,0.07,0.07,14321.0
2025-02-26,0.07,0.0723,0.0663,0.0663,5895.0
2025-02-27,0.0663,0.0663,0.0663,0.0663,3.0
2025-02-28,0.0748,0.0888,0.07,0.07,11003.0
2025-03-03,0.0612,0.0612,0.06,0.06,1431.0
2025-03-04,0.056,0.056,0.056,0.056,280.0
2025-03-05,0.0677,0.0677,0.055,0.06,9869.0
2025-03-06,0.0673,0.0724,0.0673,0.0724,10961.0
2025-03-07,0.0582,0.0582,0.0511,0.0511,1463.0
